IdPA,IdRapp,DifferenceUploadDay,NomUnite,NomPrestataire,NomAuditeurDB,TotalAuditeur,EXIGENCES,DCOTES,CONSTATSDAUDIT,ACTIONFOURNISSEUR,DELAI,AVISAUDITEUR,AUDITEURPA
145,145.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les spécifications sont elles disponibles pour tous les intrants (matières premières, ingrédients, additifs, matériau d'emballage, produit recyclé) et produits finis ?",c,"les spécifications sont disponibles mais ne sont pas remises à jour tous les 3 ans (ex : ft présure de 2010, sta de 2012).",les fiches techniques des intrants ont été demandées à chaque fournisseur. reererer//(ancienne action 11/01/2018 ) les fiches techniques des intrants ont été demandées à chaque fournisseur.,01/09/2017,approuvé,VP Auditeur 1
146,146.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,les spécifications disponibles sont elle conformes aux exigences de sécurité des aliments et réglementaires ainsi qu'aux exigences clients ? tiennent-elles compte de la vulnérabilité à la fraude alimentaire ?,b,il manque les informations allergènes pour la présure et les informations ogm pour les produits de chez chr hansen.,"la fiche technique de la présure de chez chr hansen a été mis jour, avec la mention allergène et ogm.fgjfgjjjfjfjjjjffjffjjffjfjfjfjjfjffgjjffffffffgjfjfj//(ancienne action 11/01/2018 ) la fiche technique de la présure de chez chr hansen a été mis jour, avec la mention allergène et og",IMMEDIAT,approuvé,VP Auditeur 1
147,147.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"des certificats de conformité respectant les exigences réglementaires en vigueur, existent-t-ils pour tous les matériaux d'emballage qui pourraient avoir une influence sur les produits ? existe-t-il des preuves permettant de démontrer que les matériaux d'emballage sont adaptés à leurs utilisation, dans le cas où aucune exigence réglementaire spécifique n'est applicable ? cela s'applique-t-il aux matériaux d'emballage qui pourraient avoir une influence sur les matières premières, les produits semi-finis et les produits finis ?",c,"il n'y a pas de certificat d'alimentarité pour les planches d'épicéa (fournisseur local) mais il est mentionné sur le bon de livraison que les planches sont ressuyées et chanfreinées et cela depuis le dernier audit. il n'y a aucun certificat d'alimentarité pour les matériaux et ustensiles en contact avec les aliments : plaques polypropylène, spatules de chez sogebul , filtres de chez morelle..., les fournisseurs sont des fournisseurs habituels de l'agro alimentaire mais les certificats ne sont ni demandés ni fournis.",le fromager a demandé une des certificats d'alimentarité au fournisseur,01/07/2017,approuvé,VP Auditeur 1
148,148.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,le système de traçabilité est-il testé au moins une fois par an ? le système est-il mis à jour si nécessaire et les enregistrements maintenus ?,b,"le système est testé lors des audits clients mais il n'y a pas de preuves gardées ou de bilan, peu de documents en jeu donc ils sont sortis presque au fur et à mesure de la restitution du test.","le test de traçabilité sera fait par les fromageries arnaud, une copie de ce test sera envoyé au fromager.",prochain test decembre 2016,approuvé,VP Auditeur 1
149,149.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"le système de gestion des incidents est il revu, testé et vérifié au moins une fois par an ?",b,il n'y a pas de test fait par la fromagerie arnaud qui travaille avec 32 fromageries (un test est fait une fois par an sur une fromagerie) pour la fruitière ni par le ctfc qui travaille avec 160 fruitières. le site ne teste pas sa capacité à réagir (ex : retrait ou rappel en cas d'ingrédient rappelé par le fournisseur),"en cas de retrait ou de rappel, ce sont les fromageries arnaud, metteur sur le marché qui gère. la procédure retrait rapel des fromageries arnaud est testé 1 fois par an.",01/09/2017,approuvé,VP Auditeur 1
150,150.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les actions correctives (libération, recyclage, quarantaine, rejet/élimination) sont-elles identifiées et mises en place efficacement afin d'éliminer la cause d'une déviation ou d'une non-conformité identifiée ou autre situation indésirable ?",b,"sur les fiches d'alertes, le ctfc demande de mettre en œuvre les actions nécessaires, cependant elles ne sont pas toujours toutes enregistrées.",le fromager enregistre les différentes actions mises en places sur les fiches de résultats suite aux alertes du ctfc.,IMMEDIAT,approuvé,VP Auditeur 1
151,151.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"existe-t-il des preuves que la direction est engagée à fournir les ressources pour mettre en œuvre et respecter leur programme de sécurité sanitaire et de qualité, y compris les exigences du client.",b,"la fruitière appartient à 8 producteurs, il n'y a pas d'engagement de la direction mais les propriétaires sont les producteurs et un président est nommé. le cftc est certifié iso 9001 (23/06/2016), le président rencontre régulièrement le responsable de la fromagerie qui est impliqué.",nous sommes sur une petite structure avec un président et un fromager. il n'est pas nécessaire d'avoir un engagement de la direction. de plus les producteurs et la fromagerie ont une déclaration d'identification afin de respecter le cdc de l'aop.,2018,approuvé,VP Auditeur 1
152,152.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"les appareils de mesure et de surveillance critiques pour la sécurité, la qualité (incluant les exigences clients) et légalité des aliments sont-ils identifiés, calibrés, étalonnés et traçables selon des normes/standards reconnu(e)s ? sont-ils maîtrisés de manière efficace ?",c,le thermomètre de la chambre froide n'est pas vérifié par le technicien du ctfc ni comparé avec un autre thermomètre.,le thermomètre de la chambre froide sera vérifié par le ctfc.,IMMEDIAT,approuvé,VP Auditeur 1
154,154.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,un programme documenté de formation du personnel est-il en place et appliqué de manière efficace et inclut des recyclages (mise à jour et récurrence) ?,b,"formation régulière par le ctfc, cependant la fréquence est tous les 5 ans ce qui est faible.","la fréquence ne sera pas revue, elle est mise ne place pour la filière.",2018,approuvé,VP Auditeur 1
155,155.0,12,VP Fournisseur 24,Visi office 3,VP Auditeur 1,449,"un plan de contrôle est-il disponible pour les analyses internes et externes pour s'assurer que toutes les exigences spécifiées du produit sont respectées, y compris les exigences légales et les spécifications du client, et ce pendant toute la durée de vie ? les résultats sont-ils documentés ?",b,"un plan de contrôle dans la fruitière est en place : -lait : analyse réglementaire 4 fois par mois pour le paiement (cellules, mg, mp, e coli, cryoscopie), 1 fois par mois pour la listeria et salmonelle et staphylocoque, -levain : coliformes 4 fois par an -morge listeria :1 fois par mois -affinage : recherche des pathogènes avec 1 analyse pour 100 tonnes fabriquées par fruitière sur les fromages à 4 mois d'affinage et analyses des solutions de morge dans les caves. -environnement : 2 fois par an pour les surfaces en contact avec le produit. a noter que le plan de contrôle cite des analyses en coliformes sur les sols ce qui n'est pas pertinent (résultats souvent innombrables), la listeria est davantage pertinente sur les sols.","le plan de contrôle va être mis à jour, avec une recherche de listeria sur les sols.",01/12/2017,approuvé,VP Auditeur 1
